Accel_X(g),Accel_Y(g),Accel_Z(g),Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps),Temperature
0.14,0.94,-0.07,-0.04,0.00,-0.07,249
0.14,0.94,-0.07,-0.01,-0.00,0.02,250
0.14,0.94,-0.07,0.05,-0.04,0.07,250
0.14,0.94,-0.07,0.05,-0.04,0.07,249
0.14,0.94,-0.07,0.07,-0.04,0.09,249
0.14,0.94,-0.07,0.10,-0.03,0.13,249
0.14,0.94,-0.07,0.07,-0.01,0.15,249
0.14,0.94,-0.07,0.04,0.04,0.15,250
0.14,0.94,-0.07,0.00,0.05,0.07,249
0.14,0.94,-0.07,-0.05,0.01,-0.07,249
0.14,0.94,-0.07,-0.11,-0.03,-0.23,249
0.14,0.94,-0.07,-0.15,-0.04,-0.25,249
0.14,0.94,-0.07,-0.19,-0.07,-0.25,249
0.14,0.94,-0.07,-0.11,-0.10,-0.32,249
0.14,0.94,-0.07,-0.04,-0.05,-0.30,249
0.14,0.94,-0.07,-0.03,-0.00,-0.18,249
0.14,0.94,-0.07,-0.00,0.01,0.01,249
0.14,0.94,-0.07,0.02,0.03,0.18,249
0.14,0.94,-0.07,0.10,0.05,0.29,249
0.14,0.94,-0.07,0.13,0.05,0.32,249
0.14,0.94,-0.07,0.09,0.05,0.29,249
0.14,0.94,-0.07,0.09,0.02,0.23,249
0.14,0.94,-0.07,0.04,0.01,0.14,249
0.14,0.94,-0.07,-0.04,-0.00,0.04,249
0.14,0.94,-0.07,-0.06,-0.05,-0.13,250
0.14,0.94,-0.07,-0.11,-0.07,-0.25,249
0.14,0.94,-0.07,-0.13,-0.03,-0.29,249
0.14,0.94,-0.07,-0.07,0.03,-0.23,249
0.14,0.94,-0.07,-0.03,0.00,-0.11,250
0.14,0.94,-0.07,-0.00,-0.04,-0.06,249
0.14,0.94,-0.07,0.05,-0.01,-0.03,249
0.14,0.94,-0.07,0.12,0.02,0.05,250
0.14,0.94,-0.07,0.15,0.05,0.18,250
0.14,0.94,-0.07,0.15,0.05,0.32,250
0.14,0.94,-0.07,0.13,0.04,0.30,250
0.14,0.94,-0.07,0.04,0.01,0.15,249
0.14,0.94,-0.07,-0.02,-0.02,0.00,249
0.14,0.94,-0.07,-0.03,-0.04,-0.07,249
0.14,0.94,-0.07,-0.06,-0.09,-0.12,249
0.14,0.94,-0.07,-0.11,-0.11,-0.21,249
0.14,0.94,-0.07,-0.14,-0.06,-0.30,249
0.14,0.94,-0.07,-0.13,-0.03,-0.35,249
0.14,0.94,-0.07,-0.13,-0.04,-0.32,249
0.14,0.94,-0.07,-0.09,-0.01,-0.19,249
0.14,0.94,-0.07,-0.02,-0.00,-0.02,249
0.14,0.94,-0.07,0.05,0.00,0.11,250
0.14,0.94,-0.07,0.11,-0.00,0.14,249
0.14,0.94,-0.07,0.13,-0.01,0.15,249
0.14,0.94,-0.07,0.08,-0.01,0.21,249
0.14,0.94,-0.07,0.07,-0.00,0.24,249
0.14,0.94,-0.07,0.07,0.01,0.19,250
0.14,0.94,-0.07,0.03,0.01,0.08,249
0.14,0.94,-0.07,0.01,0.02,0.02,249
0.14,0.94,-0.07,-0.01,-0.00,-0.01,250
0.14,0.94,-0.07,-0.07,-0.02,-0.08,250
0.14,0.94,-0.07,-0.11,-0.00,-0.15,249
0.14,0.94,-0.07,-0.09,-0.00,-0.16,250
0.14,0.94,-0.07,-0.06,-0.01,-0.21,249
0.14,0.94,-0.07,-0.06,-0.03,-0.15,250
0.14,0.94,-0.07,0.00,-0.02,0.00,249
0.14,0.94,-0.07,0.04,-0.00,0.09,249
0.14,0.94,-0.07,0.04,-0.02,0.12,249
0.14,0.94,-0.07,0.07,0.04,0.14,249
0.14,0.94,-0.07,0.07,0.04,0.18,249
0.14,0.94,-0.07,0.04,-0.01,0.16,249
