Accel_X(g),Accel_Y(g),Accel_Z(g),Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps),Temperature
-0.16,0.02,0.97,-0.04,-0.02,-0.10,249
-0.16,0.02,0.97,0.01,-0.01,-0.05,249
-0.16,0.02,0.97,0.01,-0.03,0.05,249
-0.16,0.02,0.97,0.00,-0.05,0.06,250
-0.16,0.02,0.97,-0.03,-0.05,0.02,249
-0.16,0.02,0.97,-0.02,0.03,0.02,249
-0.16,0.02,0.97,0.02,0.04,-0.01,249
-0.16,0.02,0.97,0.02,-0.01,0.01,249
-0.16,0.02,0.97,0.01,-0.03,0.04,249
-0.15,0.02,0.97,-0.01,-0.02,0.03,249
-0.16,0.02,0.97,0.00,-0.01,0.05,249
-0.15,0.02,0.97,-0.03,-0.01,0.00,249
-0.15,0.02,0.97,-0.05,-0.02,-0.02,249
-0.16,0.02,0.97,-0.04,-0.00,-0.00,249
-0.16,0.02,0.97,-0.04,0.00,-0.02,249
-0.15,0.02,0.97,0.01,0.02,0.01,249
-0.15,0.02,0.97,-0.00,0.03,0.01,249
-0.16,0.02,0.97,-0.02,0.02,-0.03,249
-0.16,0.02,0.97,-0.01,0.02,-0.02,249
-0.16,0.02,0.97,-0.00,0.04,-0.00,249
-0.16,0.02,0.97,-0.02,0.06,-0.01,249
-0.16,0.02,0.97,-0.03,0.03,0.01,249
-0.16,0.02,0.97,-0.02,0.00,-0.03,249
-0.16,0.02,0.97,0.01,0.01,-0.02,249
-0.16,0.02,0.97,0.03,-0.03,0.02,249
-0.16,0.02,0.97,-0.00,-0.02,0.00,249
-0.16,0.02,0.97,-0.03,0.00,-0.02,249
-0.16,0.02,0.97,-0.03,0.03,-0.04,249
-0.16,0.02,0.97,-0.02,0.04,-0.00,249
-0.15,0.02,0.97,-0.02,0.01,0.00,249
-0.15,0.02,0.97,-0.00,-0.01,0.01,249
-0.16,0.02,0.97,-0.04,-0.01,0.06,249
-0.16,0.02,0.97,-0.05,0.00,0.03,249
-0.15,0.02,0.97,-0.04,-0.02,-0.03,250
-0.15,0.02,0.97,0.00,-0.03,-0.05,249
-0.16,0.02,0.97,0.01,-0.00,-0.01,249
-0.15,0.02,0.97,-0.01,0.02,0.03,249
-0.15,0.02,0.97,-0.02,0.00,-0.01,249
-0.16,0.02,0.97,-0.01,-0.02,-0.03,249
-0.16,0.02,0.97,-0.00,-0.04,-0.00,249
-0.16,0.02,0.97,-0.03,-0.03,-0.00,249
-0.16,0.02,0.97,-0.05,0.00,-0.02,249
-0.16,0.02,0.97,-0.02,0.04,0.02,249
-0.16,0.02,0.97,-0.00,0.04,0.03,249
-0.16,0.02,0.97,0.02,-0.01,-0.02,249
